sample_id,group,s3_path,filename
H1310030,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310030_S59_L001_R1_001.fastq.gz,H1310030_S59_L001_R1_001.fastq.gz
H1310032,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310032_S1_L001_R1_001.fastq.gz,H1310032_S1_L001_R1_001.fastq.gz
H1310034,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310034_S2_L001_R1_001.fastq.gz,H1310034_S2_L001_R1_001.fastq.gz
H1310041,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310041_S7_L001_R1_001.fastq.gz,H1310041_S7_L001_R1_001.fastq.gz
H1310043,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310043_S9_L001_R1_001.fastq.gz,H1310043_S9_L001_R1_001.fastq.gz
H1310047,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310047_S36_L001_R1_001.fastq.gz,H1310047_S36_L001_R1_001.fastq.gz
H1310048,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310048_S12_L001_R1_001.fastq.gz,H1310048_S12_L001_R1_001.fastq.gz
H1310049,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310049_S38_L001_R1_001.fastq.gz,H1310049_S38_L001_R1_001.fastq.gz
H1310050,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310050_S42_L001_R1_001.fastq.gz,H1310050_S42_L001_R1_001.fastq.gz
H1310051,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310051_S43_L001_R1_001.fastq.gz,H1310051_S43_L001_R1_001.fastq.gz
H1310052,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310052_S21_L001_R1_001.fastq.gz,H1310052_S21_L001_R1_001.fastq.gz
H1310053,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310053_S22_L001_R1_001.fastq.gz,H1310053_S22_L001_R1_001.fastq.gz
H1310054,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310054_S23_L001_R1_001.fastq.gz,H1310054_S23_L001_R1_001.fastq.gz
H1310055,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310055_S24_L001_R1_001.fastq.gz,H1310055_S24_L001_R1_001.fastq.gz
H1310056,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310056_S16_L001_R1_001.fastq.gz,H1310056_S16_L001_R1_001.fastq.gz
H1310057,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310057_S25_L001_R1_001.fastq.gz,H1310057_S25_L001_R1_001.fastq.gz
H1310058,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310058_S17_L001_R1_001.fastq.gz,H1310058_S17_L001_R1_001.fastq.gz
H1310060,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310060_S61_L001_R1_001.fastq.gz,H1310060_S61_L001_R1_001.fastq.gz
H1310061,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310061_S18_L001_R1_001.fastq.gz,H1310061_S18_L001_R1_001.fastq.gz
H1310062,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310062_S32_L001_R1_001.fastq.gz,H1310062_S32_L001_R1_001.fastq.gz
H1310063,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310063_S19_L001_R1_001.fastq.gz,H1310063_S19_L001_R1_001.fastq.gz
H1310064,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310064_S41_L001_R1_001.fastq.gz,H1310064_S41_L001_R1_001.fastq.gz
H1310065,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310065_S1_L001_R1_001.fastq.gz,H1310065_S1_L001_R1_001.fastq.gz
H1310066,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310066_S33_L001_R1_001.fastq.gz,H1310066_S33_L001_R1_001.fastq.gz
H1310067,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310067_S9_L001_R1_001.fastq.gz,H1310067_S9_L001_R1_001.fastq.gz
H1310068,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310068_S26_L001_R1_001.fastq.gz,H1310068_S26_L001_R1_001.fastq.gz
H1310070,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310070_S44_L001_R1_001.fastq.gz,H1310070_S44_L001_R1_001.fastq.gz
H1310071,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310071_S29_L001_R1_001.fastq.gz,H1310071_S29_L001_R1_001.fastq.gz
H1310072,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310072_S34_L001_R1_001.fastq.gz,H1310072_S34_L001_R1_001.fastq.gz
H1310073,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310073_S35_L001_R1_001.fastq.gz,H1310073_S35_L001_R1_001.fastq.gz
H1310076,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310076_S61_L001_R1_001.fastq.gz,H1310076_S61_L001_R1_001.fastq.gz
